Year of Purchase	Client	Amount Paid	Cost per Item
2025-06-26	Henry	300	invalid
2025-06-01	Alice	100	80
2025-06-16	Emily	not_a_number	
2025-06-16	  Ivy 	300	50
2025-06-29	Frank	200	90
2025-06-03	Carol	500	80
2025-06-28	  Alice 	not_a_number	90
2025-06-12	Carol		100
2025-06-17	Frank	100	100
2025-07-01	Frank	300	invalid
2025-06-12	Dan	200	70
2025-06-16	  Dan 	200	100
2025-07-01	Henry	400	70
2025-06-25	  Frank 	500	invalid
2025-06-20	Grace		70
2025-06-19	Frank		70
2025-06-09	  Grace 	not_a_number	90
2025-06-11	Frank	500	60
	Dan	500	60
2025-06-22	Grace		
2025-06-20	Ivy	not_a_number	50
2025-06-19	Emily	not_a_number	50
2025-06-26	Grace	100	80
2025-06-08	Frank	not_a_number	80
2025-06-08	Grace	300	100
